RiverNumber;RiverList;RiverYear;CatchForFile;OrigCatchForFile;FemPropForFile;Spawn_W_mod;Spawn_W_min;Spawn_W_max;Spawn_W_med;GBM_maal;GBM_prob;Spawn4yrMin;Spawn4yrMed;Spawn4yrMax;GBM_4yr_maal;GBM_4yr_prob;Expl_L;Expl_M;Expl_H;ExplAdj;UnrepForFile
11;Valjohka;2009;119.899509707562;120;0.434666666666667;670.658931349383;538.084205865458;868.547411464064;684.141921411275;0.869063828950654;0.2153;915.002887828165;1168.53349767524;1505.946863626;1.50188574321686;0.9836;0.056;0.07;0.0875;0;0
11;Valjohka;2010;135.886111001904;136;0.51375;910.900564129241;738.222276086361;1186.9876747884;917.080649328786;1.18559567467972;0.7691;766.55041619738;967.763416421578;1257.52899428266;1.25062637106716;0.8429;0.056;0.07;0.0875;0;0
11;Valjohka;2011;228.808231025264;229;0.514497816593886;1554.42701035445;1202.32618544902;1961.56337842482;1548.48987256021;1.97111127634102;1;872.811743958893;1109.47239866175;1426.195500418;1.42603386693133;0.9615;0.056;0.07;0.0875;0;0
11;Valjohka;2012;321.730351048625;322;0.40083850931677;1451.08942687388;1163.81010919811;1863.83666768627;1468.57836790793;1.86911400621828;1;910.610694149736;1146.76898317674;1470.23378309089;1.47479534964035;0.9799;0.064;0.08;0.1;0;0
11;Valjohka;2013;170.855963914172;171;0.483333333333333;1079.59964614908;846.897398027972;1413.13549015105;1085.18374532558;1.39684627151667;0.9478;987.813992190365;1249.00416187666;1606.38080276263;1.60737979143459;0.9955;0.056;0.07;0.0875;0;0
11;Valjohka;2014;199.831678760167;200;0.4593;1204.00029005598;929.7424891454;1544.92862555555;1206.28378873693;1.54008715451086;0.9873;1035.69404545512;1322.27909335835;1695.86604045442;1.69763378796668;0.9991;0.056;0.07;0.0875;0;0
11;Valjohka;2015;154.870200038934;155;0.557354838709677;1119.18236739415;882.055633403898;1487.86393487399;1132.99312220132;1.45882088751908;0.9671;955.626407443844;1213.46793261827;1577.44117956672;1.56621795368633;0.9924;0.056;0.07;0.0875;0;0
11;Valjohka;2016;88.9254696997753;89;0.565280898876405;653.1078383459;519.521116196927;853.831641199639;659.597447983136;0.849098092060573;0.1861;794.554159193549;1013.97253548628;1324.93992294506;1.31075473970168;0.8922;0.056;0.07;0.0875;0;0
11;Valjohka;2017;87.9263071188789;88;0.580454545454546;662.39378871364;536.095107065351;863.504176013857;669.137972050789;0.862409636572997;0.203;716.853586452894;909.671071127418;1187.53209441076;1.17697905754149;0.7504;0.056;0.07;0.0875;0;0
11;Valjohka;2018;36.9681780740614;37;0.462432432432432;221.897314627364;173.530155415443;295.751464289057;224.251955566647;0.289097572410509;0;527.800503020405;664.145327270264;875.237804094135;0.86334889375769;0.2051;0.056;0.07;0.0875;0;0
